Код клиента	Возраст	Пол	Сколько лет клиент	Количество позиций товаров	Доход с клиента, тыс. ед.	Общее число покупок	Обращений в службу поддержки	Задержки платежей	Дисконтная карта	Дата отклика	Отклик
16	43	женский	3	3	13,45	2	0	1	0	05.07.2006	1
63	67	мужской	2	4	14,84	1	3	1	0	14.07.2006	1
74	31	мужской	1	1	14,84	1	3	1	0		0
94	28	женский	3	4	14,78	2	6	1	0		0
101	32	женский	0	1	14,78	1	6	1	0		0
121	49	женский	3	2	15,49	1	1	1	0	10.07.2006	1
135	25	женский	0	1	15,53	1	2	1	0		0
159	23	мужской	1	1	15,56	1	1	1	0		0
181	77	мужской	4	4	16,29	3	1	1	0		0
183	57	женский	2	1	16,29	1	1	1	0	06.07.2006	1
196	52	женский	2	1	16,29	1	1	1	0		0
199	37	женский	4	1	16,29	1	1	1	0		0
236	41	мужской	3	3	17,79	2	1	1	0		0
245	32	женский	0	1	17,79	1	1	1	0		0
252	43	женский	1	1	17,79	1	1	1	0		0
257	55	женский	1	1	17,79	1	1	1	0		0
281	34	мужской	1	3	17,75	1	2	1	0		0
53209	55	женский	0	2	51,89	1	1	1	0		0
53234	41	мужской	3	2	51,88	2	2	1	0	07.07.2006	1
53265	35	женский	2	4	51,86	7	4	1	0		0
53267	33	мужской	4	3	51,9	2	3	1	0		0
53283	38	мужской	2	1	51,91	1	5	1	0		0
53301	47	мужской	3	2	51,85	1	4	1	0		0
53331	52	женский	3	1	51,89	1	1	1	0		0
53356	52	мужской	3	3	51,92	2	2	1	0	29.07.2006	1
53366	44	мужской	3	2	51,86	1	2	1	0		0
53394	37	мужской	4	1	51,92	1	3	1	0		0
53398	39	женский	2	1	51,95	1	2	1	0		0
53400	60	женский	2	1	51,93	1	4	1	0		0
53410	33	женский	4	5	51,88	3	3	1	0		0
53411	52	мужской	4	1	51,88	1	1	1	0		0
53428	26	мужской	2	1	51,89	1	4	1	0		0
53441	30	женский	0	1	51,89	1	1	1	0		0
53469	32	мужской	4	3	51,86	2	5	1	0	13.07.2006	1
53472	22	мужской	3	1	51,89	1	3	1	0		0
53479	48	женский	2	1	51,87	1	4	1	0		0
53496	50	мужской	1	1	51,91	1	3	1	0		0
53505	39	мужской	4	3	51,93	1	4	1	0		0
53519	40	женский	4	1	51,9	1	0	1	0		0
53529	37	мужской	1	1	51,86	1	2	1	0		0
53540	44	мужской	2	2	51,92	1	1	1	0		0
53545	42	женский	0	1	51,93	1	1	1	0		0
53547	21	женский	1	1	51,89	1	1	1	0		0
53558	33	женский	3	2	51,87	1	4	1	0	05.07.2006	1
53564	41	мужской	1	1	51,95	1	6	1	0		0
53579	25	женский	2	5	51,96	2	2	1	0		0
53586	32	мужской	3	1	52,04	1	1	1	0		0
53600	44	мужской	2	1	52,01	1	3	1	0		0
53612	59	женский	3	1	52,03	1	4	1	1		0
53614	37	мужской	4	1	51,98	1	0	1	0		0
53626	36	женский	3	1	51,96	1	0	1	0		0
53633	29	мужской	0	1	52,03	1	8	1	0		0
53643	28	мужской	1	1	51,98	1	1	1	0		0
53648	36	женский	2	1	51,95	1	4	1	0		0
53665	14	женский	0	1	52,2	1	2	1	0		0
53672	50	мужской	0	1	52,23	1	2	1	0		0
53679	56	мужской	1	1	52,19	1	4	1	0		0
53695	46	мужской	1	4	52,19	10	3	1	0		0
53699	40	мужской	1	1	52,22	1	4	1	0		0
53704	33	мужской	2	1	52,22	1	3	1	0		0
53706	40	мужской	0	5	52,2	1	2	1	0		0
53765	30	мужской	0	1	52,22	1	1	1	0		0
53803	53	мужской	1	2	52,24	23	5	1	0	13.07.2006	1
53822	23	женский	2	1	52,28	1	3	1	0		0
53828	72	мужской	2	1	52,3	1	7	1	0		0
53848	40	женский	1	2	52,34	2	3	1	0	22.07.2006	1
53861	31	женский	4	1	52,33	1	7	1	0		0
53886	65	женский	0	1	52,31	1	3	1	0		0
53893	37	женский	0	1	52,26	1	2	1	0		0
53921	36	мужской	2	1	52,38	1	1	1	0		0
53926	43	мужской	2	1	52,38	1	3	1	0		0
53944	49	женский	0	1	52,44	1	1	1	0		0
53960	21	женский	2	5	52,37	3	1	1	0		0
53963	48	женский	3	1	52,42	1	2	1	0		0
53965	23	женский	3	1	52,38	1	3	1	0		0
53987	15	мужской	2	1	52,42	1	4	1	0		0
53997	50	мужской	4	1	52,38	1	1	1	0		0
54007	41	женский	2	3	52,41	2	2	1	0	23.07.2006	1
54032	50	женский	3	1	52,45	15	3	1	0		0
54038	47	мужской	2	3	52,42	2	3	1	0	17.07.2006	1
54043	28	мужской	2	3	52,4	1	3	1	1		0
54044	40	мужской	1	3	52,5	1	3	1	1		0
54095	39	женский	3	1	52,53	1	1	1	0		0
54125	38	женский	2	3	52,55	2	1	1	0		0
